category,question,option_a,option_b,option_c,option_d
generic,How would you feel if it disappeared forever?,Honestly relieved,Mildly annoyed,Genuinely heartbroken,I'd barely notice
generic,Who in your friend group matches its energy?,The dramatic one,The quiet one,The show-off,The reliable one
generic,How much would you pay for a premium version of it?,"Nothing, ever","A little, reluctantly",A fair amount,Whatever it costs
generic,When does it usually come to mind?,Late at night,In the morning rush,On lazy weekends,At random moments
generic,What mood does it put you in?,Cozy and calm,Excited,Slightly stressed,Nostalgic
generic,How would your grandmother react to it?,Total approval,Complete confusion,Mild suspicion,She'd love it more than me
generic,Where does it fit best?,At home,Out in public,Special occasions only,Absolutely everywhere
generic,How often do you deal with it?,Every single day,Once in a while,Only when forced,"Rarely, sadly"
generic,"If it were a person, what would it be like?",Loud and fun,Quiet but dependable,High maintenance,Mysterious
generic,What's the first thing you'd do if it showed up right now?,Show everyone,Keep it to myself,Put it to use immediately,Walk away slowly
food,When do you crave it the most?,Midnight,When it rains,After a long day,At celebrations
food,How do you enjoy it best?,"Alone, no sharing",With friends,While watching something,On the go
food,What would ruin it for you?,Too much sweetness,Wrong temperature,Cheap ingredients,Being forced to share
food,How messy does it get?,"Spotless, no evidence",A napkin fixes it,Hands get fully involved,Complete crime scene
food,Who does it best?,Mom / home version,A street vendor,A fancy place,"Honestly, me"
food,How do you feel right after having it?,Pure happiness,Slight regret,Instantly want more,Ready for a nap
food,What's it best paired with?,Something hot to sip,Something crunchy,Good company,Nothing — it stands alone
objects,Where would yours be right now?,Exactly where it belongs,"Lost, again",Within arm's reach,Someone borrowed it
objects,How would you feel if it broke today?,Genuine panic,"Meh, I'll replace it","Finally, an upgrade",I'd try to fix it myself
objects,Which version would you own?,Cheapest that works,"Mid-range, sensible","Premium, obviously",A quirky unique one
objects,How often does it actually get used?,Constantly,Most days,Only in emergencies,It mostly just sits there
objects,Who would you trust with it?,"Anyone, it's fine",Close friends only,Family only,Absolutely no one
objects,What's the most annoying thing about it?,It vanishes when needed,Keeping it in shape,It's pricey to replace,People misusing it
objects,How long should a good one last?,A few months,A couple of years,Five-plus years,A lifetime
school_life,How does it make you feel?,Low-key stressed,Weirdly nostalgic,Bored out of my mind,Kind of excited
school_life,Who handled it best in your class?,The topper,The backbencher,The teacher's favourite,"Nobody, honestly"
school_life,What was your strategy for it?,Full preparation,Last-minute panic,Wing it completely,Stick close to the smart kid
school_life,When did it usually happen?,First thing in the morning,Right before lunch,Last period,"Randomly, no warning"
school_life,What memory does it bring back first?,Laughing with friends,Getting in trouble,Sheer boredom,Quiet pride
school_life,Rate it out of 10?,2 — painful,5 — tolerable,8 — actually good,10 — peak school life
school_life,What soundtrack fits it?,Tense exam-hall silence,Total chaos and shouting,A dramatic movie score,Happy cartoon music
daily_life,When does it usually happen for you?,Crack of dawn,Midday,Evening,Way too late at night
daily_life,How do you honestly feel about it?,Oddly therapeutic,Necessary evil,I procrastinate forever,Genuinely enjoy it
daily_life,Who should really be handling it?,"Me, honestly",Anyone but me,We take turns,A professional
daily_life,What makes it better?,Music or a podcast,Company,Getting it over with fast,A little reward after
daily_life,How often do you skip it?,"Never, I'm disciplined",Sometimes,Every chance I get,It skips me
daily_life,What's the worst part of it?,Starting,The middle slog,It never truly ends,The cleanup after
daily_life,Weekday thing or weekend thing?,Strictly weekdays,Weekend ritual,"Every day, no escape",Only when unavoidable
animals,How would you react if you met one suddenly?,Instant friendship,Freeze completely,Back away slowly,Take a photo first
animals,Where would it settle in your home?,"The sofa, obviously",The balcony or garden,Nowhere near my home,It would own the whole place
animals,What's its energy like?,Pure chaos,Calm and wise,Sneaky,Total drama queen
animals,What would it steal from you?,My food,My bed,My attention,My peace of mind
animals,What time of day suits it?,Early morning,Lazy afternoon,Dead of night,It never rests
